Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_DECOUP1,.1u,C_0402_1005Metric,-326.9,-116.65,180,bottom
C_DECOUP2,.1u,C_0402_1005Metric,-320.54,-110.3,-90,bottom
C_DECOUP3,.1u,C_0402_1005Metric,-333.25,-110.29,90,bottom
C_DECOUP4,10u,C_0402_1005Metric,-322.49,-104.54,135,bottom
C_UCAP1,1u,C_0402_1005Metric,-322.88,-106.33,135,bottom
D1,BAV70_Small,SOT-23,-54.76875,-145.25625,-90,bottom
D2,BAV70_Small,SOT-23,-50.8,-45.24375,-90,bottom
D3,BAV70_Small,SOT-23,-48.41875,-68.2625,-90,bottom
D4,BAV70_Small,SOT-23,-54.76875,-87.3125,-90,bottom
D5,BAV70_Small,SOT-23,-57.94375,-106.3625,-90,bottom
D6,BAV70_Small,SOT-23,-54.76875,-127.79375,-90,bottom
D7,BAV70_Small,SOT-23,-91.28125,-44.45,-90,bottom
D8,BAV70_Small,SOT-23,-86.51875,-68.2625,-90,bottom
D9,BAV70_Small,SOT-23,-96.04375,-87.3125,-90,bottom
D10,BAV70_Small,SOT-23,-100.80625,-106.3625,-90,bottom
D11,BAV70_Small,SOT-23,-110.33125,-125.4125,-90,bottom
D12,BAV70_Small,SOT-23,-127,-145.25625,-90,bottom
D13,BAV70_Small,SOT-23,-131.7625,-45.24375,-90,bottom
D14,BAV70_Small,SOT-23,-124.61875,-68.2625,-90,bottom
D15,BAV70_Small,SOT-23,-134.14375,-87.3125,-90,bottom
D16,BAV70_Small,SOT-23,-138.90625,-106.3625,-90,bottom
D17,BAV70_Small,SOT-23,-148.43125,-125.4125,-90,bottom
D18,PRTR5V0U2X,SOT-143,-317.5,-41.275,0,bottom
D19,BAV70_Small,SOT-23,-172.24375,-44.45,-90,bottom
D20,BAV70_Small,SOT-23,-162.71875,-68.2625,-90,bottom
D21,BAV70_Small,SOT-23,-172.24375,-87.3125,-90,bottom
D22,BAV70_Small,SOT-23,-177.00625,-106.3625,-90,bottom
D23,BAV70_Small,SOT-23,-186.53125,-125.4125,-90,bottom
D24,BAV70_Small,SOT-23,-200.81875,-68.2625,-90,bottom
D25,BAV70_Small,SOT-23,-210.34375,-87.3125,-90,bottom
D26,BAV70_Small,SOT-23,-215.10625,-106.3625,-90,bottom
D27,BAV70_Small,SOT-23,-224.63125,-125.4125,-90,bottom
D28,BAV70_Small,SOT-23,-212.725,-45.24375,-90,bottom
D29,BAV70_Small,SOT-23,-242.8875,-145.25625,-90,bottom
D30,BAV70_Small,SOT-23,-238.91875,-68.2625,-90,bottom
D31,BAV70_Small,SOT-23,-248.44375,-87.3125,-90,bottom
D32,BAV70_Small,SOT-23,-253.20625,-106.3625,-90,bottom
D33,BAV70_Small,SOT-23,-265.90625,-125.4125,-90,bottom
D34,BAV70_Small,SOT-23,-253.20625,-44.45,-90,bottom
D35,BAV70_Small,SOT-23,-277.01875,-68.2625,-90,bottom
D36,BAV70_Small,SOT-23,-287.3375,-107.95,-90,bottom
D37,BAV70_Small,SOT-23,-290.5125,-145.25625,-90,bottom
D38,BAV70_Small,SOT-23,-288.925,-87.3125,-90,bottom
D39,BAV70_Small,SOT-23,-293.6875,-45.24375,-90,bottom
D40,BAV70_Small,SOT-23,-326.23125,-125.4125,-90,bottom
D41,BAV70_Small,SOT-23,-324.64375,-69.85,-90,bottom
D42,BAV70_Small,SOT-23,-338.93125,-45.24375,-90,bottom
D43,BAV70_Small,SOT-23,-338.93125,-87.3125,-90,bottom
D44,BAV70_Small,SOT-23,-338.9,-143.99,-90,bottom
D45,BAV70_Small,SOT-23,-357.98125,-68.2625,-90,bottom
D46,D_Small,D_SOD-123,-370.77,-46.02,90,bottom
D47,D_Small,D_SOD-123,-370.64,-88.81,90,bottom
D48,D_Small,D_SOD-123,-370.68,-145.93,90,bottom
D79,D_Small,D_SOD-123,-89.69375,-124.61875,90,bottom
F1,Polyfuse_Small,Fuse_0805_2012Metric,-321.3,-43.25,-90,bottom
J3,CONN_DB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-317.5,-63.5,0,bottom
R_DATA1,22,R_0402_1005Metric,-317.84,-103.9,-90,bottom
R_DATA2,22,R_0402_1005Metric,-316.70625,-103.9,-90,bottom
R_HWB1,10k,R_0402_1005Metric,-326.91,-117.74,180,bottom
R_INDICATOR1,220,R_0402_1005Metric,-45.24375,-112.7125,180,bottom
R_INDICATOR2,220,R_0402_1005Metric,-347.6625,-50.00625,180,bottom
R_INDICATOR3,220,R_0402_1005Metric,-38.1,-50.00625,180,bottom
R_RST1,10k,R_0402_1005Metric,-328.76,-102.94,-135,bottom
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,-326.9,-110.3,-45,bottom
Y1,Resonator_Small,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,-331.571472,-104.851472,135,bottom
